uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
39e60674-00ce-5fb1-88e2-a5069c99542c,,use_phase,processes/39e60674-00ce-5fb1-88e2-a5069c99542c.xml,1,kg,EU+EFTA+UK,use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
3df79fef-c6e1-562b-bafa-7d6603c498e6,,use_phase,processes/3df79fef-c6e1-562b-bafa-7d6603c498e6.xml,1,kg,EU+EFTA+UK,use_phase,,,A dry-cleaning machine is similar to a combination of a domestic washing machine and clothes dryer. ,scraped_from_ilcd
ef_c5459a8f,,use_phase,processes/ef_c5459a8f.xml,1,kg,EU+EFTA+UK,use_phase,,,Most commonly used iron are dry irons and steam irons. Steam irons can also be used for dry ironing.,scraped_from_ilcd
7b204ba7-a301-5e4a-9031-a4c1cbf6fdd5,,use_phase,processes/7b204ba7-a301-5e4a-9031-a4c1cbf6fdd5.xml,1,kg,GLO,use_phase,,,Enzyme washing using acidic cellulase require a pH range of 4.5 - 5.5  at 45 - 55 celcius degree to ,scraped_from_ilcd
9d80b313-dc25-53e5-9b13-0874eafd2dc0,,use_phase,processes/9d80b313-dc25-53e5-9b13-0874eafd2dc0.xml,1,kg,EU+EFTA+UK,use_phase,,,Most commonly used iron are dry irons and steam irons. Steam irons can also be used for dry ironing.,scraped_from_ilcd
d04ac1f7-de79-5291-967a-2026b69fcf28,,use_phase,processes/d04ac1f7-de79-5291-967a-2026b69fcf28.xml,1,kg,GLO,use_phase,,,"The process steps covered within the processes contributing to this mix are:
- drying in electric ov",scraped_from_ilcd
c7ae50c6-37e1-5333-889f-446c19b259b7,,use_phase,processes/c7ae50c6-37e1-5333-889f-446c19b259b7.xml,1,kg,EU+EFTA+UK,use_phase,,,Most commonly used iron are dry irons and steam irons. Steam irons can also be used for dry ironing.,scraped_from_ilcd
57b74a00-20f0-5285-838d-fe2fdb7de3e5,,use_phase,processes/57b74a00-20f0-5285-838d-fe2fdb7de3e5.xml,1,kg,GLO,use_phase,,,"This process includes only cleaning (brushing, trimming and waxing) of shoes at the very end of the ",scraped_from_ilcd
6ba9717f-07bb-57d3-bc96-da24aa29c3c0,,use_phase,processes/6ba9717f-07bb-57d3-bc96-da24aa29c3c0.xml,1,kg,GLO,use_phase,,,The process starts by making a bath or water with liquor ratio of 1:20 in a sealed stainless steel t,scraped_from_ilcd
6af7a7b5-07ef-553e-9a31-b6dfe98135b2,,use_phase,processes/6af7a7b5-07ef-553e-9a31-b6dfe98135b2.xml,1,kg,EU+EFTA+UK,use_phase,,,"In this model, two machines are used for specialist maintenance, i.e. machine for cleaning synthetic",scraped_from_ilcd
4b4f01f5-05bd-433b-96c5-73242a04127d,,use_phase,processes/4b4f01f5-05bd-433b-96c5-73242a04127d.xml,1,kg,EU+EFTA+UK,use_phase,,,"Foreground system:
During the washing and stamping processes 60% of the cork occurs as cuttings. Th",scraped_from_ilcd
0ff74388-e8d8-5dd6-992a-fed0fa7d3159,,use_phase,processes/0ff74388-e8d8-5dd6-992a-fed0fa7d3159.xml,1,kg,EU+EFTA+UK,use_phase,,,The activity starts with the dried sawn wood from air and kiln drying with a gravimetric water conte,scraped_from_ilcd
9ec2e890-9550-5503-a80a-dff6d6e98e14,,use_phase,processes/9ec2e890-9550-5503-a80a-dff6d6e98e14.xml,1,kg,EU+EFTA+UK,use_phase,,,Most commonly used iron are dry irons and steam irons. Steam irons can also be used for dry ironing.,scraped_from_ilcd
4be5e87a-26bd-5a4e-a781-804b75def0c5,,use_phase,processes/4be5e87a-26bd-5a4e-a781-804b75def0c5.xml,1,kg,GLO,use_phase,,,Acid washing is normally carried out by tumbling the garments with pumice stones presoaked in a blea,scraped_from_ilcd
43c01e16-695f-565f-bb5d-1ff21bbc0d9a,,use_phase,processes/43c01e16-695f-565f-bb5d-1ff21bbc0d9a.xml,1,kg,EU+EFTA+UK,use_phase,,,Most commonly used iron are dry irons and steam irons. Steam irons can also be used for dry ironing.,scraped_from_ilcd
c16c3967-2451-5bd0-8b41-9fccbaf2d95b,,use_phase,processes/c16c3967-2451-5bd0-8b41-9fccbaf2d95b.xml,1,kg,EU+EFTA+UK,use_phase,,,Most commonly used iron are dry irons and steam irons. Steam irons can also be used for dry ironing.,scraped_from_ilcd
