uuid,dataset_name,process_type,lci_file,fu_amount,fu_unit,region,classification,kg_per_m2,temp_c,technology,notes
ee23dfd9-c88c-5c62-9a8d-a36b2cef1b4b,,packaging,processes/ee23dfd9-c88c-5c62-9a8d-a36b2cef1b4b.xml,1,kg,GLO,packaging,,,An oscillating knife maximizes the cutting capability by moving up and down as the knife advances. T,scraped_from_ilcd
d231e082-c74c-4108-ae47-c7decd908094,,packaging,processes/d231e082-c74c-4108-ae47-c7decd908094.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
2c935c94-47d6-52d7-acf9-12657f7d50e0,,packaging,processes/2c935c94-47d6-52d7-acf9-12657f7d50e0.xml,1,kg,GLO,packaging,,,Hot -melt adhesives are thermoplastic and can be melted or softened by heat. When spread on the fabr,scraped_from_ilcd
851230e6-e482-56be-96f3-09a8e4f5a968,,packaging,processes/851230e6-e482-56be-96f3-09a8e4f5a968.xml,1,kg,GLO,packaging,,,"A heat-seal machine is a device used for the thermal transfer (heat sealing) of labels, emblems and ",scraped_from_ilcd
a9ecd48e-1419-55f7-914a-b6b5cc5bb625,,packaging,processes/a9ecd48e-1419-55f7-914a-b6b5cc5bb625.xml,1,kg,GLO,packaging,,,This dataset is modelled for repairing soles (gluing). The amount of adhesives / glue needed is prox,scraped_from_ilcd
de5a9b13-2496-5d70-b7aa-03ad86965427,,packaging,processes/de5a9b13-2496-5d70-b7aa-03ad86965427.xml,1,kg,GLO,packaging,,,"Tapes are used for binding, decorative or supoorting material in apparel production. The main raw ma",scraped_from_ilcd
794afe57-dca3-462c-8988-8f1790dfd8b2,,packaging,processes/794afe57-dca3-462c-8988-8f1790dfd8b2.xml,1,kg,ROW w/o EU+EFTA,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
827d344d-e5ba-5b3d-8f1a-a2d6be9a2e7d,,packaging,processes/827d344d-e5ba-5b3d-8f1a-a2d6be9a2e7d.xml,1,kg,GLO,packaging,,,Polyethylene (PE) foam biogenic is produced from a direct foam extrusion process which is cross-link,scraped_from_ilcd
30e4677c-68c7-5528-a0ff-3d3819f8a9c0,,packaging,processes/30e4677c-68c7-5528-a0ff-3d3819f8a9c0.xml,1,kg,GLO,packaging,,,"Care labels provide guidelines to consumers about apparel care, and the best cleaning procedures to ",scraped_from_ilcd
2c11240e-33b0-5cae-84bc-3577892e2181,,packaging,processes/2c11240e-33b0-5cae-84bc-3577892e2181.xml,1,kg,GLO,packaging,,,Polyethylene (PE) foam is produced from a direct foam extrusion process which is cross-linked. A typ,scraped_from_ilcd
1ead35dd-fc71-4b0c-9410-7e39da95c7dc,,packaging,processes/1ead35dd-fc71-4b0c-9410-7e39da95c7dc.xml,1,kg,GLO,packaging,,,This dataset contains the production phase of the car (capital goods) and the use phase of the car (,scraped_from_ilcd
b4ae1399-444e-4e84-892d-ea7992896186,,packaging,processes/b4ae1399-444e-4e84-892d-ea7992896186.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
2866402f-d3ad-5cb5-afdb-cd5e1efa541c,,packaging,processes/2866402f-d3ad-5cb5-afdb-cd5e1efa541c.xml,1,kg,GLO,packaging,,,Hot -melt adhesives are thermoplastic and can be melted or softened by heat. When spread on the fabr,scraped_from_ilcd
58804e90-e955-46e0-9e34-97f0161f1d36,,packaging,processes/58804e90-e955-46e0-9e34-97f0161f1d36.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
1c162876-97dd-41ae-b3f5-e57e582cda57,,packaging,processes/1c162876-97dd-41ae-b3f5-e57e582cda57.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
3277ffdd-85ff-40c1-9535-221f9da34f0d,,packaging,processes/3277ffdd-85ff-40c1-9535-221f9da34f0d.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
5c41c633-a187-4583-a74a-22dafa5fb941,,packaging,processes/5c41c633-a187-4583-a74a-22dafa5fb941.xml,1,kg,EU+EFTA+UK,packaging,,,This dataset contains the production phase of the truck (capital goods) and the use phase of the tru,scraped_from_ilcd
13f01be7-dd41-5cd7-9ce1-34c1b0ef4588,,packaging,processes/13f01be7-dd41-5cd7-9ce1-34c1b0ef4588.xml,1,kg,GLO,packaging,,,An oscillating knife maximizes the cutting capability by moving up and down as the knife advances. T,scraped_from_ilcd
39d25dec-ddca-5c51-95db-f0d080aea39b,,packaging,processes/39d25dec-ddca-5c51-95db-f0d080aea39b.xml,1,kg,GLO,packaging,,,This dataset is modelled for repairing soles (gluing). The amount of adhesives / glue needed is prox,scraped_from_ilcd
