LCS_Process_ID,Life_cycle_stage,Process_name,Region,Dataset_name,Unit_of_measure,Data_source,UUID,TeR,GR,TiR,P,PEF_DQR
Trims,LCS1,"Zipper tape or puller, plastic",GLO,"Zipper tape and puller, plastic {GLO} | production, at plant | 1kg of product, nylon zipper | LCI result",kg,EF Database 3.1,00d09aaa-f6b8-5e16-bbc5-4f74d571366f,"  1,96 ","  1,96 ","  1,02 ","  1,78 ","  1,68 "
Dyeing - Apparel,LCS2,"Dyeing, batch (incl. piece, jet, jig, kier [fiber], paddle, pad-batch, yarn), direct, sulfur, vat or reactive dyes",GLO,"Dyeing, batch (incl. piece, jet, jig, kier [fiber], paddle, pad-batch, yarn), direct, sulfur, vat or reactive dyes {GLO} | Dyeing | production mix, at plant | textile service for 1 kg of fabric | LCI result",kg,EF Database 3.1,00fc088d-bc5f-5266-9e4a-086cfb653d2c,"  1,49 ","  1,49 ","  2,02 ","  1,88 ","  1,72 "
Tertiary packaging - apparel,LCS1,Shrink film,Europe,"Plastic, shrink wrap {EU+EFTA+UK} | raw material production, plastic extrusion | production mix, at plant | thickness: 120 um, grammage: 0,11016 kg/m2 | LCI result",m2,EF Database 3.1,017de0d2-c8f8-4208-b1b5-357a815f2dd8,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
BOM - Footwear,LCS1,Vinyl acetate,GLO,"Ethylene vinyl acetate copolymer {GLO} | Technology mix | Production mix, at plant | LCI result",kg,EF Database 3.1,0259ff8c-04c1-4caf-985b-c86f3bc435da,"  2,80 ","  2,80 ","  2,40 ","  2,70 ","  2,68 "
End-of-life for intermediate product packaging,LCS2,"Incineration, pallet",Europe,"Waste incineration of processed wood {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | wood waste | LCI result",kg,EF Database 3.1,034b2afb-2aa4-4d64-99b5-f39f700f3d44,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
End-of-life for intermediate product packaging,LCS2,"Incineration, LDPE",Europe,"Waste incineration of PE {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | polyethylene waste | LCI result",kg,EF Database 3.1,0370baaf-8923-4e26-b3b8-abcebb89f974,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
End-of-life for intermediate product packaging,LCS2,"Virgin, LDPE",Europe,"Low density polyethylene (LDPE), fossil fuel-based {GLO} | polymerisation of fossil-based ethylene | production mix, at plant | petrochemical based | LCI result",kg,EF Database 3.1,03af7382-7420-5934-a943-8481e4d9ebbf,"  1,43 ","  1,82 ","  1,00 ","  1,84 ","  1,52 "
End-of-life for intermediate product packaging,LCS2,"Landfill, pallet",Europe,"Landfill of processed wood {EU+EFTA+UK} | landfill including leachate treatment and with transport without collection and pre-treatment | production mix (region specific sites), at landfill site | The carbon and water content are respectively of 45%C and and 8% Water (in weight %) | LCI result",kg,EF Database 3.1,0907b969-c8a5-4317-84b3-04ad0a04447e,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
Component manufacturing - Footwear,LCS2,Sewing,GLO,"Sewing {GLO} | sewing process | production mix, at plant | service for 1 pair | LCI result",p,EF Database 3.1,095fd655-ce3c-5134-86a7-37c3236f6f08,"  1,00 ","  2,48 ","  1,00 ","  2,00 ","  1,62 "
Component manufacturing - Footwear,LCS2,Lasting,GLO,"Lasting, strobel {GLO} | lasting process | production mix, at plant | service | LCI result",p,EF Database 3.1,09d7db4c-f56c-5f1b-a3d1-d46767293282,"  1,69 ","  2,17 ","  1,00 ","  2,00 ","  1,72 "
BOM - Apparel,LCS1,"Dressed rabbit fur, farmed, global origin",GLO,"Dressed rabbit fur, farmed, global origin {GLO} | technology mix | production mix, at plant | 1kg | LCI result",kg,EF Database 3.1,0aebff95-5ae3-5bd8-ae14-e207fe0da577,"  1,04 ","  1,04 ","  1,40 ","  2,00 ","  1,37 "
Electronic parts,LCS1,Resistor,GLO,"Flat chip resistor technology mix production mix, at plant 1 piece of resistor flat chip 1206 (9.2mg)",kg,EF Database 3.1,0ce7601b-80b7-41ee-b8a5-3a4e0b6750d6,"  3,00 ","  2,00 ","  2,00 ","  2,00 ","  2,25 "
Fabric manufacturing - Apparel,LCS2,"Knitting, circular",GLO,"Knitting, circular {GLO} | knitting process | production, at plant | service of knitting fabric | LCI result",kg,EF Database 3.1,105d486f-1c09-56c3-ac9d-b517cd566fbb,"  1,00 ","  1,61 ","  1,00 ","  2,00 ","  1,40 "
BOM - Footwear,LCS1,PVC,Europe,"PVC granulates, low density {EU+EFTA+UK} | polymerisation of vinyl chloride | production mix, at plant | 62 g/mol per repeating unit | LCI result",kg,EF Database 3.1,13c6a030-b42c-46be-acd2-6c81bcaa8355,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
Assembly - Apparel,LCS2,Cutting,GLO,"Cutting {GLO} | straight knive, round knive, band knive, hot knife, and ultrasonic cutting | production mix, at plant | service for 1 kg | LCI result",kg,EF Database 3.1,143f0bad-fb5c-5dd3-9a42-366c3459a490,"  1,00 ","  1,66 ","  1,00 ","  2,00 ","  1,42 "
Component manufacturing - Footwear,LCS2,Vulcanizing,GLO,"Vulcanizing {GLO} | vulcanizing, press vulcanisation- injection molding | production mix, at plant | service for 1 pair | LCI result",p,EF Database 3.1,14bda935-a17f-5d1f-bde6-c9d25e9d296b,"  1,74 ","  1,94 ","  1,00 ","  1,26 ","  1,49 "
End-of-life for manufacturing losses,LCS2,Incineration of polyurethane,Europe,"Waste incineration of PU {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | polyurethane waste | LCI result",kg,EF Database 3.1,15eab50d-177a-46a6-815f-805200411487,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
Transport raw materials,LCS1,"Transport, plane",GLO,"Cargo plane {GLO} | technology mix, kerosene driven, cargo | consumption mix, to consumer | 65 t payload | LCI result",kgkm,EF Database 3.1,1cc5d465-a12a-43da-aa86-a9c6383c78ac,"  2,00 ","  2,00 ","  1,00 ","  2,00 ","  1,75 "
Dyeing - Apparel,LCS2,Screen printing,Europe,"Printing, screen {GLO} | printing service | production, at plant | service of printing, Screen on 1m2 of fabric | LCI result",m2,EF Database 3.1,1e02e4e6-b775-5da8-92d1-34bb284d629a,"  1,70 ","  1,77 ","  1,04 ","  1,00 ","  1,38 "
Transport from retail/ stores to final client (customer travel) - local,LCS3,Passenger car,Europe,"Passenger car, average {GLO} | technology mix, gasoline and diesel driven, Euro 3-5, passenger car | consumption mix, to consumer | engine size from 1,4l up to >2l | LCI result",m,EF Database 3.1,1ead35dd-fc71-4b0c-9410-7e39da95c7dc,"  3,00 ","  3,00 ","  3,00 ","  3,00 ","  3,00 "
BOM - Apparel,LCS1,"Down, duck",GLO,"Down {GLO} | duck | production mix, at plant | renewable | LCI result",kg,EF Database 3.1,241d988a-490f-5747-88dd-e940cf98835c,"  1,86 ","  1,86 ","  1,89 ","  2,00 ","  1,90 "
Washing - both,LCS4,Handwashing,Europe,"Handwashing {EU+EFTA+UK} | handwashing process | production mix, at plant | service | LCI result",kg,EF Database 3.1,25b97e74-0fc8-5092-ac30-8452c6d1ecbe,"  1,81 ","  1,81 ","  1,00 ","  2,00 ","  1,66 "
Washing - both,LCS4,"Washing, 30°, average",Europe,"Washing, 30 degrees C, average {EU+EFTA+UK} | washing, cold to warm water | production mix, at plant | service | LCI result",kg,EF Database 3.1,27f9009b-8fd1-5cae-ad4f-115dd1f44d71,"  1,97 ","  1,98 ","  1,00 ","  2,00 ","  1,74 "
Yarn production - Apparel,LCS2,"Spinning, continuous filament (dry)",GLO,"Spinning, continuous filament (dry) {GLO} | spinning process | production mix | service of spinning 1kg of yarn (raw material excluded) | LCI result",kg,EF Database 3.1,2a45fc49-9fd3-57e3-8aaf-39308eff48ee,"  1,13 ","  1,63 ","  1,00 ","  2,00 ","  1,44 "
Washing - both,LCS4,"Washing, 60°, average",Europe,"Washing, 60 degrees C, average {EU+EFTA+UK} | washing, hot water | production mix, at plant | service | LCI result",kg,EF Database 3.1,2baf17e3-2fff-5b3f-bceb-dd9718cf96e4,"  1,60 ","  1,60 ","  1,17 ","  2,00 ","  1,59 "
Treatments - Apparel,LCS2,"Finishing, spray-dry-cure",GLO,"Finishing, stain resistant/stain release {GLO} | pad dry-cure method | production mix, at plant | service | LCI result",kg,EF Database 3.1,2c94f6ed-61b4-545e-afca-7c440ce99a91,"  2,00 ","  2,00 ","  1,00 ","  2,00 ","  1,75 "
End-of-life for manufacturing losses,LCS2,Incineration of other textiles and footwear components,Europe,"Waste incineration of municipal solid waste {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | municipal solid waste | LCI result",kg,EF Database 3.1,2f07be1f-d11a-46ac-b4f0-49c5f28b5b93,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
BOM - Apparel,LCS1,"Dressed mink fur, farmed, global origin except China",GLO,"Dressed mink fur, farmed, global origin except china {GLO} | technology mix | production mix, at plant | 1kg | LCI result",kg,EF Database 3.1,2fa1f180-71c1-5554-a448-d77415a6286d,"  1,68 ","  1,68 ","  1,21 ","  2,00 ","  1,64 "
Product assembly - Footwear,LCS2,"Coating, water based emulsion",GLO,"Coating, water based emulsion {GLO} | Finishing | technology mix | textile service for 1 kg of fabric | LCI result",kg,EF Database 3.1,30330988-7800-5b4b-9cda-2ad01922fb78,"  2,00 ","  2,00 ","  1,00 ","  2,00 ","  1,75 "
Trims,LCS1,"Zippers, metal",GLO,"Zipper tape and puller, metal {GLO} | production, at plant | 1kg of product, brass zipper | LCI result",kg,EF Database 3.1,30404be3-773b-5e0e-8a5b-780b6f9ba2d2,"  2,00 ","  2,00 ","  1,00 ","  2,00 ","  1,75 "
End-of-life for intermediate product packaging,LCS2,"Recyling, cardboard",Europe,"Recycling paper and cardboard, waste management, technology mix, at plant {EU+EFTA+UK} | collection, sorting, transport, recycling | production mix, at plant | paper waste, efficiency 90,9% | LCI result",kg,EF Database 3.1,308685e7-15fe-417e-a016-1f6060a0ff10,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
Primary packaging - both,LCS1,"Hangtag, plastic",Europe,"Label, plastic {EU+EFTA+UK} | Polymerisation of ethylene, label production by extrusion | production mix, at plant | thickness: 100 um, grammage: 0.0943 kg/m2 | LCI result",m2,EF Database 3.1,3087a31b-a9f1-4fad-ad9b-2d7b88111f60,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
BOM - Apparel,LCS1,Acrylic fibre,GLO,"Acrylic fiber {GLO} | polymerisation of acrylonitrile with the ethyl acetate, spinning, post-spinning treatment | production mix, at plant | petrochemical based | LCI result",kg,EF Database 3.1,30eec2db-9118-5417-8c59-8f8a69d34750,"  2,15 ","  2,15 ","  1,00 ","  2,00 ","  1,83 "
Tertiary packaging - apparel,LCS1,Pallets,Europe,"Pallet, wood (80x120) {EU+EFTA+UK} | sawing, piling, nailing | single route, at plant | 25 kg/piece, nominal loading capacity of 1000kg | LCI result",kg,EF Database 3.1,3203d6d8-2760-4b7b-b1c6-f82681e9e2f3,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
Storage during distribution - DC,LCS3,"Electricity, EU grid mix",Europe,"Electricity grid mix 1kV-60kV {EU+EFTA+UK} | technology mix | consumption mix, to consumer | 1kV - 60kV | LCI result",MJ,EF Database 3.1,34960d4d-af62-43a0-aa76-adc5fcf57246,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
Fabric manufacturing - Apparel,LCS2,"Weaving, others",GLO,"Weaving (different fabric counts) {GLO} | service, Fabric, Weaved, Mix of different counts | production mix, at plant | service, Fabric, Weaved, Mix of different counts | LCI result",kg,EF Database 3.1,35df89ba-c78c-58c5-b4e2-9be77cc939d3,"  1,00 ","  1,61 ","  1,00 ","  2,00 ","  1,40 "
End-of-life for manufacturing losses,LCS2,"Processing for recycling, wipers",Europe,"Recycling, downcycling {GLO} | collection, sorting, transport, washing, granulation, pelletization | production mix, at plant | LCI result",kg,EF Database 3.1,36c4a273-6e29-487d-9cd8-74c52578846b,"  3,00 ","  3,00 ","  2,00 ","  2,00 ","  2,50 "
Dyeing - Apparel,LCS2,"Dyeing, batch (incl. piece, jet, jig, kier, yarn), disperse or cationic dyes",GLO,"Dyeing, batch (incl. piece, jet, jig, kier, yarn), disperse or cationic dyes {GLO} | Dyeing | production mix, at plant | textile service for 1 kg of fabric | LCI result",kg,EF Database 3.1,3ca6756d-e7fc-5340-afe2-3dc0d24b39d1,"  1,64 ","  1,64 ","  1,63 ","  1,00 ","  1,48 "
Component manufacturing - Footwear,LCS2,"Injection molding, for foam {GLO} | injection process | production mix, at plant | item(s) = pair | LCI result",Europe,"Injection molding, for foam {GLO} | injection process | production mix, at plant | item(s) = pair | LCI result",p,EF Database 3.1,415b6078-e252-5716-a063-427f3b8e45b3,"  1,95 ","  1,95 ","  1,00 ","  1,91 ","  1,70 "
End-of-life for manufacturing losses,LCS2,Incineration of PVC,Europe,"Waste incineration of PVC {EU+EFTA+UK} | waste-to-energy plant with dry flue gas treatment, including transport and pre-treatment | production mix, at consumer | polyvinyl chloride waste | LCI result",kg,EF Database 3.1,4234f73d-11d3-4923-a6b7-f903e866e165,"  2,00 ","  1,00 ","  1,00 ","  2,00 ","  1,50 "
BOM - Footwear,LCS1,Cork,Europe,"Natural cork {EU+EFTA+UK} | Cork treatment, cork breaking | single route, at plant | 120,240 kg/m3 | LCI result",kg,EF Database 3.1,43397385-3094-438e-b636-476767b88114,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
BOM - Apparel,LCS1,"Dressed fox fur, farmed, global origin except China",GLO,"Dressed fox fur, farmed, global origin except china {GLO} | technology mix | production mix, at plant | 1kg | LCI result",kg,EF Database 3.1,48207dc0-b0ba-511c-af04-fafb96cae81e,"  1,50 ","  1,50 ","  1,19 ","  2,00 ","  1,55 "
