LCS_Process_ID,Life_cycle_stage,Process_name,Region,Dataset_name,Unit_of_measure,Data_source,UUID,TeR,GR,TiR,P,PEF_DQR
End-of-life for manufacturing losses,LCS2,Virgin mineral wool,Europe,"Stone wool {GLO} | technology mix | production mix, at plant | LCI result",kg,EF Database 3.1,7aeb5a00-122e-4bbf-9abd-ccf0e7510fc3,"  2,00 ","  3,00 ","  3,00 ","  2,00 ","  2,50 "
Yarn production - Apparel,LCS2,"Spinning, for woven, ring-spun",GLO,"Spinning, for woven, ring-spun {GLO} | spinning process | production mix | service of spinning 1kg of yarn (raw material excluded) | LCI result",kg,EF Database 3.1,7bf3b729-d5f4-590a-bdca-a161981dd01e,"  1,00 ","  1,61 ","  1,00 ","  2,00 ","  1,40 "
Primary packaging - both,LCS1,"Hangtag, paper",Europe,"Label, paper {EU+EFTA+UK} | Kraft pulping process, label production | production mix, at plant | thickness: 77 um, grammage: 90 g/m2 | LCI result",m2,EF Database 3.1,7db01ade-8476-4c20-9c0b-7faff30d9f9f,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
End-of-life for manufacturing losses,LCS2,Landfill of textiles,Europe,"Landfill of textile {EU+EFTA+UK} | landfill including leachate treatment and with transport without collection and pre-treatment | production mix (region specific sites), at landfill site | The carbon and water content are respectively of 40%C and and 12% Water (in weight %) | LCI result",kg,EF Database 3.1,7e851603-761f-4f7c-b5c9-145d0a703a44,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
BOM - Apparel,LCS1,"Leather, swine, chrome tanned (wet-blue)",GLO,"Leather, swine, chrome tanned (wet-blue) {GLO} | technology mix | production mix, at tannery | m2 | LCI result",m2,EF Database 3.1,7f1baf26-941f-55f6-b5e9-9fcac04a4200,"  1,49 ","  1,49 ","  1,79 ","  2,20 ","  1,74 "
Storage during distribution - DC,LCS3,Electricity (NG) EU grid mix,Europe,"Thermal energy from natural gas {EU+EFTA+UK} | technology mix regarding firing and flue gas cleaning | production mix, at heat plant | MJ, 100% efficiency | LCI result",MJ,EF Database 3.1,81675341-f1af-44b0-81d3-d108caef5c28,"  1,00 ","  1,00 ","  1,00 ","  2,00 ","  1,25 "
BOM - Apparel,LCS1,"Leather, ovine (sheep), chrome tanned (wet-blue)",GLO,"Leather, ovine (sheep), chrome tanned (wet- blue) {GLO} | technology mix | production mix, at tannery | m2 | LCI result",m2,EF Database 3.1,82daa594-f848-512b-8e54-172d31d8ff4f,"  1,61 ","  1,61 ","  1,76 ","  2,00 ","  1,75 "
Component manufacturing - Footwear,LCS2,Insole production,GLO,"Assembly, insole {GLO} | insole assembly process | production mix, at plant | service | LCI result",p,EF Database 3.1,8342bf5f-64a4-5637-a7ca-9195b78848ea,"  1,91 ","  1,92 ","  1,01 ","  2,00 ","  1,71 "
End-of-life for intermediate product packaging,LCS2,"Recycling, LDPE",Europe,"Recycling of post-industrial waste polyethylene (PE) {EU+EFTA+UK} | collection, sorting, transport, washing, granulation, pelletization | production mix, at plant | 91.2% recycling rate | Partly terminated system",kg,EF Database 3.1,86034c65-32b3-4a85-9241-1930c5c2495a,"  1,00 ","  1,00 ","  2,00 ","  2,00 ","  1,50 "
End-of-life for intermediate product packaging,LCS2,"Landfill, cardboard",Europe,Landfill of paper and paperboard waste {EU+EFTA+UK} | LCI result,kg,EF Database 3.1,86ff0001-4794-4df5-a1d4-083a9d986b62,"  2,00 ","  2,00 ","  2,00 ","  2,00 ","  2,00 "
